2024-11-04 18:05:16,604 | DEBUG | Got value from dict - Ophir
2024-11-04 18:05:16,625 | DEBUG | No writer
2024-11-04 18:05:16,625 | DEBUG | Acquired reader lock
2024-11-04 18:05:16,625 | DEBUG | Got value from dict - Ophir
2024-11-04 18:05:16,642 | DEBUG | No writer
2024-11-04 18:05:16,642 | DEBUG | Acquired reader lock
2024-11-04 18:05:16,642 | DEBUG | Got value from dict - Ophir
2024-11-04 18:05:16,662 | DEBUG | No writer
2024-11-04 18:05:16,663 | DEBUG | Acquired reader lock
2024-11-04 18:05:16,663 | DEBUG | Got value from dict - Ophir
2024-11-04 18:05:16,682 | DEBUG | No writer
2024-11-04 18:05:16,682 | DEBUG | Acquired reader lock
2024-11-04 18:05:16,682 | DEBUG | Got value from dict - Ophir
2024-11-04 18:05:16,702 | DEBUG | No writer
2024-11-04 18:05:16,702 | DEBUG | Acquired reader lock
2024-11-04 18:05:16,702 | DEBUG | Got value from dict - Ophir
2024-11-04 18:05:16,719 | DEBUG | No writer
2024-11-04 18:05:16,719 | DEBUG | Acquired reader lock
2024-11-04 18:05:16,719 | DEBUG | Got value from dict - Ophir
2024-11-04 18:05:16,740 | DEBUG | No writer
2024-11-04 18:05:16,740 | DEBUG | Acquired reader lock
2024-11-04 18:05:16,740 | DEBUG | Got value from dict - Ophir
2024-11-04 18:05:16,758 | DEBUG | No writer
2024-11-04 18:05:16,758 | DEBUG | Acquired reader lock
2024-11-04 18:05:16,758 | DEBUG | Got value from dict - Ophir
2024-11-04 18:05:16,778 | DEBUG | No writer
2024-11-04 18:05:16,778 | DEBUG | Acquired reader lock
2024-11-04 18:05:16,778 | DEBUG | Got value from dict - Ophir
2024-11-04 18:05:16,895 | DEBUG | No writer
2024-11-04 18:05:16,895 | DEBUG | Acquired reader lock
2024-11-04 18:05:16,895 | DEBUG | Got value from dict - None
2024-11-04 18:05:16,913 | DEBUG | No writer
2024-11-04 18:05:16,914 | DEBUG | Acquired reader lock
2024-11-04 18:05:16,914 | DEBUG | Got value from dict - None
2024-11-04 18:05:16,931 | DEBUG | No writer
2024-11-04 18:05:16,932 | DEBUG | Acquired reader lock
2024-11-04 18:05:16,932 | DEBUG | Got value from dict - None
2024-11-04 18:05:16,956 | DEBUG | Value added to dictionary
2024-11-04 18:05:16,956 | DEBUG | adding num: 12 to db was True
2024-11-04 18:05:16,956 | DEBUG | Data written
2024-11-04 18:05:16,957 | DEBUG | writing was True
2024-11-04 18:05:16,957 | DEBUG | released all reader slots
2024-11-04 18:05:16,957 | DEBUG | No writer
2024-11-04 18:05:16,957 | DEBUG | Acquired reader lock
2024-11-04 18:05:16,957 | DEBUG | Got value from dict - 12
2024-11-04 18:05:16,988 | DEBUG | No writer
2024-11-04 18:05:16,988 | DEBUG | Acquired reader lock
2024-11-04 18:05:16,988 | DEBUG | Got value from dict - None
2024-11-04 18:05:17,006 | DEBUG | No writer
2024-11-04 18:05:17,006 | DEBUG | Acquired reader lock
2024-11-04 18:05:17,006 | DEBUG | Got value from dict - None
2024-11-04 18:05:17,021 | DEBUG | No writer
2024-11-04 18:05:17,021 | DEBUG | Acquired reader lock
2024-11-04 18:05:17,021 | DEBUG | Got value from dict - None
2024-11-04 18:05:17,030 | DEBUG | Tests complete
2024-11-04 18:06:48,072 | DEBUG | Data written
2024-11-04 18:06:48,073 | DEBUG | method chosen: OperationSettings.THREADS
2024-11-04 18:06:48,073 | DEBUG | Got data
2024-11-04 18:06:48,074 | DEBUG | Data written
2024-11-04 18:06:48,075 | DEBUG | Value added to dictionary
2024-11-04 18:06:48,075 | DEBUG | Deleted value from dict
2024-11-04 18:06:48,076 | DEBUG | Value added to dictionary
2024-11-04 18:06:48,076 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,076 | DEBUG | Value added to dictionary
2024-11-04 18:06:48,076 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,076 | DEBUG | Value added to dictionary
2024-11-04 18:06:48,076 | DEBUG | Value added to dictionary
2024-11-04 18:06:48,076 | DEBUG | Data written
2024-11-04 18:06:48,076 | DEBUG | method chosen: OperationSettings.THREADS
2024-11-04 18:06:48,077 | DEBUG | Got data
2024-11-04 18:06:48,078 | DEBUG | No writer
2024-11-04 18:06:48,078 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,078 | DEBUG | Got value from dict - None
2024-11-04 18:06:48,078 | DEBUG | No writer
2024-11-04 18:06:48,079 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,079 | DEBUG | Got value from dict - None
2024-11-04 18:06:48,079 | DEBUG | No writer
2024-11-04 18:06:48,079 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,079 | DEBUG | Got value from dict - None
2024-11-04 18:06:48,086 | DEBUG | Value added to dictionary
2024-11-04 18:06:48,086 | DEBUG | adding num: 12 to db was True
2024-11-04 18:06:48,086 | DEBUG | Data written
2024-11-04 18:06:48,087 | DEBUG | writing was True
2024-11-04 18:06:48,087 | DEBUG | released all reader slots
2024-11-04 18:06:48,102 | DEBUG | No writer
2024-11-04 18:06:48,102 | DEBUG | No writer
2024-11-04 18:06:48,102 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,102 | DEBUG | No writer
2024-11-04 18:06:48,102 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,102 | DEBUG | Got value from dict - 12
2024-11-04 18:06:48,102 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,102 | DEBUG | Got value from dict - 12
2024-11-04 18:06:48,103 | DEBUG | Got value from dict - 12
2024-11-04 18:06:48,103 | DEBUG | Value added to dictionary
2024-11-04 18:06:48,103 | DEBUG | adding name: Ophir to db was True
2024-11-04 18:06:48,103 | DEBUG | Data written
2024-11-04 18:06:48,103 | DEBUG | writing was True
2024-11-04 18:06:48,103 | DEBUG | released all reader slots
2024-11-04 18:06:48,104 | DEBUG | No writer
2024-11-04 18:06:48,104 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,104 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,104 | DEBUG | No writer
2024-11-04 18:06:48,104 | DEBUG | No writer
2024-11-04 18:06:48,104 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,104 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,104 | DEBUG | No writer
2024-11-04 18:06:48,104 | DEBUG | No writer
2024-11-04 18:06:48,104 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,105 | DEBUG | No writer
2024-11-04 18:06:48,105 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,105 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,105 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,105 | DEBUG | No writer
2024-11-04 18:06:48,105 | DEBUG | No writer
2024-11-04 18:06:48,105 | DEBUG | No writer
2024-11-04 18:06:48,105 | DEBUG | No writer
2024-11-04 18:06:48,105 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,106 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,106 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,106 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,106 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,106 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,106 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,106 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,106 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,106 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,106 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,106 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,107 | DEBUG | Value added to dictionary
2024-11-04 18:06:48,107 | DEBUG | adding name: Ophir to db was True
2024-11-04 18:06:48,107 | DEBUG | Data written
2024-11-04 18:06:48,108 | DEBUG | writing was True
2024-11-04 18:06:48,108 | DEBUG | released all reader slots
2024-11-04 18:06:48,108 | DEBUG | No writer
2024-11-04 18:06:48,108 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,108 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,108 | DEBUG | Value added to dictionary
2024-11-04 18:06:48,108 | DEBUG | adding name: Ophir to db was True
2024-11-04 18:06:48,108 | DEBUG | Data written
2024-11-04 18:06:48,108 | DEBUG | writing was True
2024-11-04 18:06:48,108 | DEBUG | released all reader slots
2024-11-04 18:06:48,108 | DEBUG | No writer
2024-11-04 18:06:48,108 | DEBUG | Acquired reader lock
