2024-11-17 17:13:43,612 | DEBUG | Read from file complete
2024-11-17 17:13:43,612 | DEBUG | File Handle Closed
2024-11-17 17:13:43,612 | DEBUG | Converted data to dict
2024-11-17 17:13:43,612 | DEBUG | Value added to dictionary
2024-11-17 17:13:43,612 | DEBUG | Written to file
2024-11-17 17:13:43,612 | DEBUG | File Handle Closed
2024-11-17 17:13:43,612 | DEBUG | Tests complete
2024-11-17 17:13:44,522 | DEBUG | Written to file
2024-11-17 17:13:44,522 | DEBUG | File Handle Closed
2024-11-17 17:13:44,523 | DEBUG | Value added to dictionary
2024-11-17 17:13:44,523 | DEBUG | Written to file
2024-11-17 17:13:44,523 | DEBUG | File Handle Closed
2024-11-17 17:13:44,523 | DEBUG | Read from file complete
2024-11-17 17:13:44,523 | DEBUG | File Handle Closed
2024-11-17 17:13:44,523 | DEBUG | Converted data to dict
2024-11-17 17:13:44,523 | DEBUG | Value added to dictionary
2024-11-17 17:13:44,523 | DEBUG | Written to file
2024-11-17 17:13:44,523 | DEBUG | File Handle Closed
2024-11-17 17:13:44,524 | DEBUG | Tests complete
2024-11-17 17:13:45,385 | DEBUG | Written to file
2024-11-17 17:13:45,385 | DEBUG | File Handle Closed
2024-11-17 17:13:45,385 | DEBUG | Value added to dictionary
2024-11-17 17:13:45,386 | DEBUG | Written to file
2024-11-17 17:13:45,386 | DEBUG | File Handle Closed
2024-11-17 17:13:45,386 | DEBUG | Read from file complete
2024-11-17 17:13:45,386 | DEBUG | File Handle Closed
2024-11-17 17:13:45,386 | DEBUG | Converted data to dict
2024-11-17 17:13:45,386 | DEBUG | Value added to dictionary
2024-11-17 17:13:45,386 | DEBUG | Written to file
2024-11-17 17:13:45,386 | DEBUG | File Handle Closed
2024-11-17 17:13:45,387 | DEBUG | Tests complete
2024-11-17 17:13:46,274 | DEBUG | Written to file
2024-11-17 17:13:46,274 | DEBUG | File Handle Closed
2024-11-17 17:13:46,275 | DEBUG | Value added to dictionary
2024-11-17 17:13:46,275 | DEBUG | Written to file
2024-11-17 17:13:46,275 | DEBUG | File Handle Closed
2024-11-17 17:13:46,275 | DEBUG | Read from file complete
2024-11-17 17:13:46,275 | DEBUG | File Handle Closed
2024-11-17 17:13:46,275 | DEBUG | Converted data to dict
2024-11-17 17:13:46,275 | DEBUG | Value added to dictionary
2024-11-17 17:13:46,275 | DEBUG | Written to file
2024-11-17 17:13:46,275 | DEBUG | File Handle Closed
2024-11-17 17:13:46,276 | DEBUG | Tests complete
2024-11-17 17:13:47,274 | DEBUG | Written to file
2024-11-17 17:13:47,274 | DEBUG | File Handle Closed
2024-11-17 17:13:47,274 | DEBUG | Value added to dictionary
2024-11-17 17:13:47,274 | DEBUG | Written to file
2024-11-17 17:13:47,274 | DEBUG | File Handle Closed
2024-11-17 17:13:47,275 | DEBUG | Read from file complete
2024-11-17 17:13:47,275 | DEBUG | File Handle Closed
2024-11-17 17:13:47,275 | DEBUG | Converted data to dict
2024-11-17 17:13:47,275 | DEBUG | Value added to dictionary
2024-11-17 17:13:47,275 | DEBUG | Written to file
2024-11-17 17:13:47,275 | DEBUG | File Handle Closed
2024-11-17 17:13:47,275 | DEBUG | Tests complete
2024-11-17 17:13:48,133 | DEBUG | Written to file
2024-11-17 17:13:48,133 | DEBUG | File Handle Closed
2024-11-17 17:13:48,134 | DEBUG | Value added to dictionary
2024-11-17 17:13:48,134 | DEBUG | Written to file
2024-11-17 17:13:48,134 | DEBUG | File Handle Closed
2024-11-17 17:13:48,134 | DEBUG | Read from file complete
2024-11-17 17:13:48,134 | DEBUG | File Handle Closed
2024-11-17 17:13:48,134 | DEBUG | Converted data to dict
2024-11-17 17:13:48,134 | DEBUG | Value added to dictionary
2024-11-17 17:13:48,134 | DEBUG | Written to file
2024-11-17 17:13:48,134 | DEBUG | File Handle Closed
2024-11-17 17:13:48,135 | DEBUG | Tests complete
2024-11-17 18:11:32,169 | DEBUG | Written to file
2024-11-17 18:11:32,169 | DEBUG | File Handle Closed
2024-11-17 18:11:32,170 | DEBUG | Value added to dictionary
2024-11-17 18:11:32,170 | DEBUG | Written to file
2024-11-17 18:11:32,170 | DEBUG | File Handle Closed
2024-11-17 18:11:32,170 | DEBUG | Read from file complete
2024-11-17 18:11:32,170 | DEBUG | File Handle Closed
2024-11-17 18:11:32,170 | DEBUG | Converted data to dict
2024-11-17 18:11:32,170 | DEBUG | Value added to dictionary
2024-11-17 18:11:32,171 | DEBUG | Written to file
2024-11-17 18:11:32,171 | DEBUG | File Handle Closed
2024-11-17 18:11:32,171 | DEBUG | Written to file
2024-11-17 18:11:32,171 | DEBUG | File Handle Closed
2024-11-17 18:11:32,310 | DEBUG | Written to file
2024-11-17 18:11:32,310 | DEBUG | File Handle Closed
2024-11-17 18:11:32,429 | DEBUG | acquired all reader slots
2024-11-17 18:11:32,429 | DEBUG | Value added to dictionary
2024-11-17 18:11:32,429 | DEBUG | adding name: Ophir to db was True
2024-11-17 18:11:32,430 | DEBUG | Written to file
2024-11-17 18:11:32,430 | DEBUG | File Handle Closed
2024-11-17 18:11:32,430 | DEBUG | writing was True
2024-11-17 18:12:06,482 | DEBUG | Value added to dictionary
2024-11-17 18:12:06,482 | DEBUG | Written to file
2024-11-17 18:12:06,482 | DEBUG | File Handle Closed
2024-11-17 18:12:06,482 | DEBUG | Read from file complete
2024-11-17 18:12:06,482 | DEBUG | File Handle Closed
2024-11-17 18:12:06,482 | DEBUG | Converted data to dict
2024-11-17 18:12:06,483 | DEBUG | Value added to dictionary
2024-11-17 18:12:06,483 | DEBUG | Written to file
2024-11-17 18:12:06,483 | DEBUG | File Handle Closed
2024-11-17 18:12:06,753 | DEBUG | acquired all reader slots
2024-11-17 18:12:06,753 | DEBUG | Value added to dictionary
2024-11-17 18:12:06,753 | DEBUG | adding name: Ophir to db was True
2024-11-17 18:12:06,753 | DEBUG | Written to file
2024-11-17 18:12:06,754 | DEBUG | File Handle Closed
2024-11-17 18:12:06,754 | DEBUG | writing was True
2024-11-17 18:12:06,754 | DEBUG | released all reader slots
2024-11-17 18:12:06,754 | DEBUG | No writer
2024-11-17 18:12:06,754 | DEBUG | Acquired reader lock
2024-11-17 18:12:06,754 | DEBUG | Got value from dict - Ophir
2024-11-17 18:19:56,131 | DEBUG | Value added to dictionary
2024-11-17 18:19:56,131 | DEBUG | Written to file
